X-as;Y-as;BoomGeslacht
632;4;Taxodium
654;46;Taxodium
663;94;Taxodium
678;132;Taxodium
696;179;Taxodium
711;216;Taxodium
735;272;Taxodium
742;303;Taxodium
1165;337;Taxodium
1208;353;Taxodium
1498;87;Taxodium
1924;411;Taxodium
1126;1183;Taxodium
1469;1727;Malus
1400;41;Malus
1431;132;Malus
1465;223;Malus
1495;314;Malus
1530;408;Malus
1558;495;Malus
1592;587;Malus
1628;676;Malus
1661;770;Malus
1691;857;Malus
1731;954;Malus
1763;1061;Malus
1542;140;Metasequoia
1516;155;Metasequoia
1545;163;Metasequoia
1719;74;Metasequoia
1745;73;Metasequoia
1728;96;Metasequoia
1324;206;Liquidambar
1392;247;Ginko
2317;1269;Ginko
2282;1272;Ginko
2450;1414;Ginko
2465;1404;Ginko
2470;1423;Ginko
1209;384;Tilia
1299;358;Tilia
1354;372;Tilia
1403;362;Tilia
1428;331;Tilia
1129;875;Tilia
1809;835;Tilia
1954;778;Tilia
1098;1082;Tilia
1143;1076;Tilia
1193;1259;Tilia
1203;1213;Tilia
1232;1194;Tilia
1268;1173;Tilia
1287;1210;Tilia
1240;1259;Tilia
1383;1214;Tilia
1404;1168;Tilia
1415;1126;Tilia
1455;1130;Tilia
1426;1312;Tilia
1218;1456;Tilia
1068;445;Pterocarya
879;539;Platanus
1455;516;Platanus
1352;846;Platanus
1385;935;Platanus
1406;962;Platanus
1416;1033;Platanus
1199;1401;Platanus
1946;1420;Platanus
2039;1378;Platanus
2199;1365;Platanus
2323;1402;Platanus
1941;1479;Platanus
2014;1478;Platanus
2071;1476;Platanus
2202;1475;Platanus
2276;1471;Platanus
2339;1469;Platanus
1265;447;Acer
919;608;Acer
1028;779;Acer
1042;800;Acer
1082;848;Acer
1072;868;Acer
1093;864;Acer
1110;862;Acer
1091;890;Acer
1114;886;Acer
1033;910;Acer
1201;915;Acer
1248;905;Acer
1157;987;Acer
1295;1078;Acer
1445;832;Acer
1472;858;Acer
1450;880;Acer
1488;895;Acer
1465;918;Acer
2198;694;Acer
1330;1139;Acer
1337;1152;Acer
1327;1179;Acer
1296;1227;Acer
1215;1246;Acer
1263;1448;Acer
1321;1444;Acer
1472;1371;Acer
1757;1222;Acer
1835;1219;Acer
1879;1189;Acer
1984;1228;Acer
2118;1116;Acer
2184;1113;Acer
1787;1332;Acer
1894;1299;Acer
1999;1293;Acer
2102;1191;Acer
2160;1204;Acer
1046;601;Alnus
2123;1247;Alnus
1340;703;Alnus
1312;721;Alnus
1336;741;Alnus
1318;615;Fagus
1555;689;Fagus
1260;937;Fagus
2333;1106;Fagus
1404;590;Prunus
1445;617;Prunus
1059;984;Prunus
1068;1033;Prunus
1587;1356;Prunus
1600;1393;Prunus
1620;1368;Prunus
1310;667;Corylus
969;787;Aesculus
1565;1028;Aesculus
1490;1275;Aesculus
2237;859;Aesculus
2263;908;Aesculus
2271;966;Aesculus
2279;1037;Aesculus
1247;977;Carpinus
1306;1053;Carpinus
1259;1069;Carpinus
1244;1085;Carpinus
1382;1385;Carpinus
1353;1413;Carpinus
1205;842;Ulmus
1214;854;Ulmus
1162;872;Ulmus
1313;999;Ulmus
1670;1348;Ulmus
1260;998;Quercus
1254;1044;Quercus
1276;1053;Quercus
1299;1127;Quercus
1309;1162;Quercus
2105;843;Quercus
2120;888;Quercus
2138;929;Quercus
2081;1067;Quercus
2054;1123;Quercus
1180;885;Quercus
1149;892;Quercus
1311;1361;Quercus
1327;1418;Quercus
1380;645;Quercus
1427;681;Quercus
1404;708;Quercus
1452;717;Quercus
1427;752;Quercus
1428;794;Quercus
1248;922;Quercus
1165;1204;Quercus
1156;1268;Quercus
1509;955;Quercus
1523;1017;Quercus
1510;1047;Quercus
1535;1065;Quercus
1511;1090;Quercus
1521;1124;Quercus
1545;1106;Quercus
1536;1154;Quercus
1573;1131;Quercus
1604;1105;Quercus
1621;1061;Quercus
1254;1368;Quercus
1280;1388;Quercus
1599;1268;Quercus
1182;1622;Betula
1160;1619;Betula
1164;1632;Betula
1360;1601;Betula
1376;1597;Betula
